pcode_commune,nom_commune,operateur,genre,unite,valeur,source_id,millesime,licence
HT0122,Petit-Goave,Digicel,boutique mobile,nombre,1,SRC-036,"OSM via Overpass, extrait le 15/08/2026",ODbL (© contributeurs OpenStreetMap)
HT0122,Petit-Goave,Digicel,site de communication,nombre,1,SRC-036,"OSM via Overpass, extrait le 15/08/2026",ODbL (© contributeurs OpenStreetMap)
HT0123,Grand-Goave,Digicel,site de communication,nombre,1,SRC-036,"OSM via Overpass, extrait le 15/08/2026",ODbL (© contributeurs OpenStreetMap)
HT0131,Croix-Des-Bouquets,Digicel,boutique mobile,nombre,2,SRC-036,"OSM via Overpass, extrait le 15/08/2026",ODbL (© contributeurs OpenStreetMap)
HT0131,Croix-Des-Bouquets,Digicel,site de communication,nombre,5,SRC-036,"OSM via Overpass, extrait le 15/08/2026",ODbL (© contributeurs OpenStreetMap)
HT0131,Croix-Des-Bouquets,Natcom,boutique mobile,nombre,2,SRC-036,"OSM via Overpass, extrait le 15/08/2026",ODbL (© contributeurs OpenStreetMap)
HT0131,Croix-Des-Bouquets,Natcom,site de communication,nombre,2,SRC-036,"OSM via Overpass, extrait le 15/08/2026",ODbL (© contributeurs OpenStreetMap)
HT0131,Croix-Des-Bouquets,opérateur non précisé,accès internet public,nombre,2,SRC-036,"OSM via Overpass, extrait le 15/08/2026",ODbL (© contributeurs OpenStreetMap)
HT0131,Croix-Des-Bouquets,opérateur non précisé,boutique mobile,nombre,1,SRC-036,"OSM via Overpass, extrait le 15/08/2026",ODbL (© contributeurs OpenStreetMap)
HT0131,Croix-Des-Bouquets,opérateur non précisé,site de communication,nombre,8,SRC-036,"OSM via Overpass, extrait le 15/08/2026",ODbL (© contributeurs OpenStreetMap)
HT0132,Thomazeau,Digicel,site de communication,nombre,1,SRC-036,"OSM via Overpass, extrait le 15/08/2026",ODbL (© contributeurs OpenStreetMap)
HT0132,Thomazeau,Natcom,site de communication,nombre,1,SRC-036,"OSM via Overpass, extrait le 15/08/2026",ODbL (© contributeurs OpenStreetMap)
HT0132,Thomazeau,opérateur non précisé,site de communication,nombre,2,SRC-036,"OSM via Overpass, extrait le 15/08/2026",ODbL (© contributeurs OpenStreetMap)
HT0133,Ganthier,opérateur non précisé,site de communication,nombre,1,SRC-036,"OSM via Overpass, extrait le 15/08/2026",ODbL (© contributeurs OpenStreetMap)
HT0135,Fonds-Verrettes,Digicel,site de communication,nombre,1,SRC-036,"OSM via Overpass, extrait le 15/08/2026",ODbL (© contributeurs OpenStreetMap)
HT0141,Arcahaie,Digicel,boutique mobile,nombre,2,SRC-036,"OSM via Overpass, extrait le 15/08/2026",ODbL (© contributeurs OpenStreetMap)
HT0141,Arcahaie,opérateur non précisé,accès internet public,nombre,1,SRC-036,"OSM via Overpass, extrait le 15/08/2026",ODbL (© contributeurs OpenStreetMap)
HT0141,Arcahaie,opérateur non précisé,boutique mobile,nombre,4,SRC-036,"OSM via Overpass, extrait le 15/08/2026",ODbL (© contributeurs OpenStreetMap)
HT0141,Arcahaie,opérateur non précisé,site de communication,nombre,2,SRC-036,"OSM via Overpass, extrait le 15/08/2026",ODbL (© contributeurs OpenStreetMap)
HT0142,Cabaret,opérateur non précisé,site de communication,nombre,1,SRC-036,"OSM via Overpass, extrait le 15/08/2026",ODbL (© contributeurs OpenStreetMap)
HT0151,Anse a Galets,Digicel,accès internet public,nombre,1,SRC-036,"OSM via Overpass, extrait le 15/08/2026",ODbL (© contributeurs OpenStreetMap)
HT0151,Anse a Galets,opérateur non précisé,accès internet public,nombre,1,SRC-036,"OSM via Overpass, extrait le 15/08/2026",ODbL (© contributeurs OpenStreetMap)
HT0211,Jacmel,Access Haiti,site de communication,nombre,1,SRC-036,"OSM via Overpass, extrait le 15/08/2026",ODbL (© contributeurs OpenStreetMap)
HT0211,Jacmel,Digicel,boutique mobile,nombre,1,SRC-036,"OSM via Overpass, extrait le 15/08/2026",ODbL (© contributeurs OpenStreetMap)
HT0211,Jacmel,Digicel,site de communication,nombre,6,SRC-036,"OSM via Overpass, extrait le 15/08/2026",ODbL (© contributeurs OpenStreetMap)
HT0211,Jacmel,Natcom,site de communication,nombre,2,SRC-036,"OSM via Overpass, extrait le 15/08/2026",ODbL (© contributeurs OpenStreetMap)
